English_sentences,Balochi_sentences
The boy washing the car is my brother.,"Hamá bachakk ke kárgádhiá shódagá ent, mani brát ent."
The boy washing the car is my brother.,"Hamá bachakk ke gádhiá shódagá ent, mani brát ent."
The college accepted him as a student.,Kálejá á maktabiay bestárá kabul kot.
The college accepted him as a student.,Kálejá á tálebay bestárá zort.
The girl was afraid of her own shadow.,Jenekká cha jenday sáhegá tors et.
The girl was afraid of her own shadow.,Á jenekká cha jenday sáhegá tors et.
The horse stopped and refused to move.,Aps óshtát o hecch wadhá najonz et.
The horse stopped and refused to move.,Aps óshtát o hecch wadhá nasor et.
The hunter followed the bear's tracks.,Shekáriá mammay pad gerán kotant.
The Japanese like to travel in groups.,Jápánián thóli thóliá sapar kanag dóster bit.
The Japanese like to travel in groups.,Jápánián thóli thóliá sapar kanag wassh bit.
The lecture lasted for twenty minutes.,Lekchará bist meletth jat.
The man aimed a gun at the detectives.,Mardá jásusáni sará topang dásht.
The new method was anything but ideal.,Nókén wazm harchiat bale delwáh nayat.
The new plan has been very successful.,Nókén shawr sakk sóbmand butag.
The parcel weighs more than one pound.,Pársalay wazan cha yakk pawndhéá gésh ent.
The police set out to solve the crime.,polisá jormay gisshénagay kár dastá gept.
The problem is too difficult to solve.,Jédhah anchó grán ent ke gisshénag nabit.
The problem is too difficult to solve.,É jédhah anchó grán ent ke gisshénag nabit.
The question is where to buy the book.,Jost esh ent ke ketáb cha kojá gerag bebit.
The road runs parallel with the river.,Dag kawray hamtangiá rawán ent.
The road runs parallel with the river.,Dagg kawray hamtangiá rawán ent.
The water in this river is very clean.,É kawray áp sakk sapá ent.
The weather has been good until today.,Dán marchigá mósom sharr butag.
There are lots of animals in the park.,Párká gappadhé jánwar hast.
There are lots of trees in the garden.,Bágá gappadhé drachk hast.
There must be a better way to do this.,Eshiay kanagay sharterén wadhé ón bit.
There must be a better way to do this.,Eshiay kanagay sharterén wadhé allamá bit.
There's an emergency exit in the rear.,Poshti némagá emarjensi darrawé hast.
They agreed to elect him as president.,Áyán mannet ke áiá págwájah gechén kanén.
They called off their visit to London.,Áyán Landanay tarr o táb kótáh kot.
They demanded damages from the driver.,Áyán cha dheléwará táwánay démá zarr lóth et.
They have four classes in the morning.,Sabáhá áyán chár kelás hast.
They lived in Spain for several years.,Á chandé sálá espéná neshtant.
They say that she was born in Germany.,Goshant ke á Jarmaniá pédá butag.
This bus will take you to the airport.,É bas tará báli patthá bárt.
This bus will take you to the airport.,É bas tará bálipatthá bárt.
This is the first time I've been here.,É awali rand ent ke man edá atkagán.
This telescope must be used carefully.,É dirgend pa enán kármarz kanag lóthit.
This telescope must be used carefully.,É dirgend pa sambáli kármarz kanag lóthit.
This will be a very dangerous mission.,É sakkén hatarnákén káré bit.
Tom actually did what he said he'd do.,Thámá chónáyá hamá kot ke goshtag aty kanány.
Tom actually did what he said he'd do.,Thámá chónáyá hamá kár kot ke goshtagaté kanány.
Tom and I are dependent on each other.,Man o Thám yakké domigay chamdárén.
Tom and Mary are anxious to find jobs.,Thám o Maryam nawkariay shóházá takánsar ant.
Tom asked Mary if she wanted to dance.,Thámá Maryam jost kot ke taw nách kanag lóthay.
Tom asked me why I could swim so fast.,Thámá maná jost kot ke taw chetawr chó téz ózhnág kot kanay.
Tom can't decide whether he should go.,Thám paysalah kot nakant ke borawt yá na.
Tom didn't believe anything Mary said.,Maryamay goshtagén hecch gapp Thámá báwar nakot.
Tom didn't believe anything Mary said.,"Maryamá harchi gosht, Thámá báwar nakot."
Tom doesn't usually show his feelings.,Thám chónáyá wati máreshtán pésh nadárit.
Tom doesn't usually show his feelings.,Thám chónáyá wati máreshtán pésh nadarit.
Tom has a dentist appointment at 2:30.,Thámá dantánay dáktaray kerrá 2:30á hókéné hast.
Tom isn't good at talking to children.,Thám gón gwandhuán gapp janagá zabr naent.
Tom pretended that he didn't see Mary.,Thámá anchó pésh dásht bezán Maryamá gendagá nayán.
Tom pretended that he didn't see Mary.,Thámá anchó pésh dásht bezán Maryamá gendagá naent.
Tom said he wasn't allowed to do that.,Thámá gosht ke áiá chó kanagay ejázat nabutag.
Tom said that Mary was a good swimmer.,Thámá gosht ke Maryam sharrén ózhnágeré butag.
Tom saves money from his pocket money.,Thám cha wati harchiá zarr rakkénit.
Tom understands what needs to be done.,Thám sarpad bit ke ché kanag lóthit.
Tom was heartbroken when his dog died.,"Wahdé Thámay kochekk mort, Thám sakk apsózi but."
"Walk faster, or you'll miss the train.","Tézter gám jan, agan nataw rélgádhiá pasht kapay."
"Walk faster, or you'll miss the train.","Gámán tézter kan, agan na taw rélá pasht kapay."
We are all convinced of his innocence.,Má drost mannén ke á bégonáhé.
We are all convinced of his innocence.,Márá drostán yakin ent ke á bégonáhé.
We are very grateful for what you did.,Taw harchi ke kot má paráiá tai sakk mennatwár én.
We could be making a big mistake here.,Má begenday edá balahén radié kanagá én.
We have a lot of earthquakes in Japan.,May kerrá Jápáná zeminchandh báz bit.
We must abate the noise in our cities.,Márá wati shahrán shór o shár kamter kanag lóthit.
We need you to help us this afternoon.,Márá marchi némróchá tai madat darkár ent.
We need you to help us this afternoon.,Márá marchi némróchá tai madat pakár ent.
We returned to Boston on October 20th.,Má aktubaray 20á Bósthoná wátarr bitén.
We've finished cleaning our classroom.,Má wati kelásay sapái halás kotag.
What are we having for dinner tonight?,Enshapi márá pa shámá ché hast?
What are you up to tomorrow afternoon?,Taw bándá némróchá ché kanagá ay?
What do you actually do in the office?,Taw kárgesá chónáyá ché kanay?
What specifically are you looking for?,Taw hásén chéay shóházá ay?
What'll you be doing over the weekend?,Taw haptagáná ché kanagá bay?
"Which do you prefer, spring or autumn?","Tará ché pasondter ent, bahárgáh yá tákchandh?"
Which ice cream shop are you going to?,Taw áeskerimay kojám dokkáná rawagá ay?
Why did you tell them it was my fault?,Taw áyán á parchá gosht ke é mani radi ent?
Why do you blame me for what happened?,Harchi ke but taw paráiá maná parchá mayárig kanay?
Why do you blame me for what happened?,Harchi ke but taw áiay mayárá mani sará parchá laddhay?
Would you be arrested if you did that?,Agan taw chó kot dazgir kanag bay?
You always try to blame somebody else.,Taw modám johd kanay ke degerá mayárig bekanán.
You always try to blame somebody else.,Taw modám degerá mayárig kanagay johd kanay.
You can take off the bandage tomorrow.,Taw patthiá bándá bótk kanay.
You certainly have a lot of questions.,Tará allamá gappadhé jost hast.
You just have to promise me one thing.,Tará bass gón man yakk wádahé kanagi ent.
You mustn't depend on others for help.,Tará pa madatá degeráni chamdár bayag nalóthit.
You only have 24 hours left to decide.,Tai kerrá pa paysalah kanagá bass 24 kalák pasht kaptag.
You only have 24 hours left to decide.,Pa paysalah kanagá tai kerrá bass 24 kalák pasht kaptag.
You should live up to your principles.,Tará wati rahbandáni redá zend gwázénag lóthit.
You were wining and the we were happy.,Taw katthagá atay o má galatén.
Your daughters have turned into women.,Tai jenekk rostag o janén butagant.
Your help is necessary to our success.,Tai madat pa may sóbmandiá allami ent.
These were twenty eight numbers books.,É bist o hasht dánag kalam etant.
We have traveled 324 kilometers today.,Má marchi 324 kelómitar sapar kotag.
We have traveled 325 kilometers today.,Má marchi 325 kelómitar sapar kotag.
We have traveled 326 kilometers today.,Má marchi 326 kelómitar sapar kotag.
We have traveled 327 kilometers today.,Má marchi 327 kelómitar sapar kotag.
We have traveled 328 kilometers today.,Má marchi 328 kelómitar sapar kotag.
We have traveled 329 kilometers today.,Má marchi 329 kelómitar sapar kotag.
We have traveled 330 kilometers today.,Má marchi 330 kelómitar sapar kotag.
We have traveled 331 kilometers today.,Má marchi 331 kelómitar sapar kotag.
We have traveled 332 kilometers today.,Má marchi 332 kelómitar sapar kotag.
Tom paid my twenty three dollars bill.,Thámá mani bist o say dhálaray bell dát.
Tom paid my twenty seven dollars bill.,Thámá mani bist o hapt dhálaray bell dát.
Tom paid my twenty eight dollars bill.,Thámá mani bist o hasht dhálaray bell dát.
She sold that table for fifty dollars.,Áiá é gádhi panjá dhálará bahá kot.
Croatia defeated Czechia by 2 wickets.,Króshiahá Chékiah 2 Wakethá babá dát.
Dominica beat East Timor by 8 wickets.,Dominikahá Ródarátki Timór 8 wakethá kath et.
Eurasia beat French Guiana by 20 runs.,Yuróyshiáyá Paránsi Giánah 20 randá kath et.
Germany beat French Guiana by 6 goals.,Jarmaniá Paránsi Giánah 6 gólá kath et.
Yesterday was October 1st and Tuesday.,Zi Aktubaray 1li róch o Sayshambeh butag.
Don't worry. He knows what he's doing.,Paréshán mabi. Á zánt ke ché kanagá án.
He is my friend. Do you guys know him?,Á mani sangat ent. Yár shomá zánety?
How many times do I need to repeat it?,Maná chinchok randá eshiay parrám kanag pakár ent.
I can't come up with a plan right now.,Anni man shawré bast nakanán.
I have a lot of passwords to remember.,Maná báz páswardh yát dáragi ent.
I have to memorize a lot of passwords.,Maná báz páswardh delá yát kanagi ent.
I needed to make sure you'd come here.,Maná pakár at ke pakká bekanán ke taw atkagay.
I only need one onion for this recipe.,Paré noskahá maná bass yakk boné pimmáz pakár ent.
I told them to send me another ticket.,Man áyáná gosht ke pa man dege theketthé dém beday et.
I usually go for a walk every morning.,Man chónáyá har sabáh pa payádarawiá rawán.
I've never been sick a day in my life.,Man wati zendá yakk róché ham nádráh nabitagán.
My wife is afraid to drive my new car.,Mani janá mani nókén gádhiay táchag torsit.
Only one person survived the accident.,É eksidhanthá éoká yakk mardomé rakk et.
So far everything has been successful.,Tani wahdi harchi sóbmand bitag.
That has happened to me several times.,Chó gón man chandé bará bitag.
That's something you need to remember.,É anchén chizzé ke tará yát kanag pakár ent.
The new plan has been very successful.,Nókén shawr sakk sóbmand bitag.
The weather has been good until today.,Dán marchigá mósom sharr bitag.
There are lots of animals in the park.,Párká báz jánwar hast.
There are lots of trees in the garden.,Bágá báz drachk hast.
They say that she was born in Germany.,Goshant ke á Jarmaniá pédá bitag.
Tom actually did what he said he'd do.,Thámá chónáyá hamá kár kot ke goshty kanány.
Tom said he wasn't allowed to do that.,Thámá gosht ke áiá chó kanagay ejázat nabitag.
Tom said that Mary was a good swimmer.,Thámá gosht ke Maryam sharrén ózhnágeré bitag.
Tom understands what needs to be done.,Thám sarpad ent ke ché kanag pakár ent.
Why did you tell them it was my fault?,Taw áyáná parchá gosht ke é mani radi ent?
You certainly have a lot of questions.,Tará allamá báz jost hast.
Your daughters have turned into women.,Tai jenekk rostag o janén bitagant.
"Being very tired, I went to bed early.",Man mahlaw waptán ke sakk zhand atán.
Do you know what time it is in Boston?,Taw zánay Bóstoná che wahd ent?
I had my thirtieth birthday last week.,Mani siomi bitenróch pésari haptagá at.
I studied in Boston from 2003 to 2007.,Man 2003á dán 2007á Bóstoná want.
Let's forget last night ever happened.,By dushigén sahpay jendá béhál kanén.
Tom has a dentist appointment at 2:30.,Thámá danátánay dáktaray kerrá 2:30á hókéné hast.
We returned to Boston on October 20th.,Má Aktubaray 20á Bóstoná wátarr bitén.
What specifically are you looking for?,Taw hás chéay shóházá ay?
I'm sure that she will come back soon.,Man jazm án ke á zitt padá kayt.
Let's see what we're up against first.,Byá awalsará chárén ke má chéay heláp én.
The new method was anything but ideal.,Nókén wazm harchi at bale delwáh nayat.
Tom and I are dependent on each other.,Man o Thám yakké domigay chamdár én.
He will have to account for the money.,Áiá zarráni hesáb dayagi ent.
Please don’t violate any traffic rule.,Thraypekay hecch rahband pádmál makan.
He will get in trouble because of you.,Á tai sawabá mosibatá kapit.
He has joined us for 15 days training.,Á pa 15 róchay hélkáriá gón má awár butag.
The school won the inter-district cup.,Eskólá zellahi báj katthet.
He runs five kilometers every morning.,Á har sohbah panch kilóméthar tachit.
The athlete ran with incredible speed.,Gwáziger sakk téziá tatk.
He is a dedicated table tennis player.,Á thébal ténesay námién gwázigeré.
The sports awards ceremony is tonight.,Gwázi dádáni diwán enshap ent.
She achieved her lifelong dream today.,Áiá marchi wati zenday masterén wáb sarjam kot.
The sports complex has an indoor pool.,Gwázijáhay tahá pa ózhnágá teláwagé hast.
She works as a sports physiotherapist.,Á layb o gwáziay peziutrápiay kárá kant.
She loves skiing in the winter season.,Áiá zemestánay mósomá eski kanag dóst bit.
Young girls are forced to marry early.,Kasán sálén jennekán kasániá pa sángá majbur kanant.
Poverty and early marriage are linked.,Garibi o kasáni sir hamgranch ant.
They face continuous health struggles.,Eshán pa dráhjániá yakkó johd kanag kapit.
They are too weak to fight the custom.,Á gón é dódá sakk nezor ant.
The US-Iran agreement has been signed.,Amrikah o Éránay kawlbandi daznám butag.
Frozen Iranian funds will be released.,Éránay dáshtagén zarr ázát kanag bant.
A widower is a man whose wife has died.,Sarózám hamá mard ent ke lógbánoky mortag.
A widower is a man whose wife has died.,Sarózám hamá mard ent ke jany mortag.
All you need to do is listen carefully.,"Harchi ke tará kanagi ent, esh ent ke sharriá gósh dár."
All you need to do is listen carefully.,Tará bass sharriá gósh dárag lóthit.
Animals absorb foods into their bodies.,Gongodám warákán wati jáná jazb kanant.
Are you looking for something specific?,Taw hásén chizzéay shóházá ay?
Are you sure you don't need to do that?,Pakkáyá tará chó kanagay zalurat naent?
Are you sure you don't need to do that?,Pakkáyá tará chó kanag nalóthit?
Aren't you going to finish your supper?,Taw wati shámá halás nakanay?
Astronomy is by no means a new science.,Ázmánzánti hecch wadhá nókén sáensé naent.
"Because I had a cold, I stayed at home.","Man lógá jalletán, parcháke maná passhánk at."
Can this possibly be the right address?,Chó bit kant ke é rástén dhass ent?
Can you tell me the way to the library?,Taw maná ketábjáhay ráhá sój dát kanay?
"Correct the mistakes, if there are any.","Agan radi hast, rástesh kan."
Did you forget to sign your name again?,Taw wati daznámay janagá padá béhál bitay?
Do you have any idea who would do this?,Tará chó andázah hast ke eshiá kay kant?
Do you know what Tom does for a living?,Taw zánay ke Thám pa gozráná ché kant?
Don't be late for the meeting tomorrow.,Bándátigén diwáná dérá mayá.
Don't despise a man because he is poor.,Mardoméá é wástá jahl majan ke wár ent.
Don't forget that there are exceptions.,Béhál mabay ke darshamén chizz ón hast.
Don't forget that there are exceptions.,Béhál mabi ke darshamén chizz ham hast.
Don't forget to lock up when you leave.,Wahdé dar ká ay eshiay kobl kanagá béhál mabay.
Don't forget to lock up when you leave.,Wahdé dar ká ay eshiay kobl kanagá béhál mabi.
Don't forget to take a camera with you.,Gón watá kémráéay ziragá béhál mabay.
Don't forget to take a camera with you.,Gón watá kémráéay ziragá béhál mabi.
Don't give up. You still have a chance.,Hemmatá dawr madaytará angat móhé hast.
"He is deaf, but knows how to read lips.","Á karré, bale lontháni wánag zánt."
He is worthy to be captain of our team.,Á may thimay kátyál bayag karzit.
He is worthy to be captain of our team.,Á may thimay kátyáliá karzit.
He kissed his daughter on the forehead.,Áiá wati jenekkay péshánig chokk et.
He speaks English with a German accent.,Á jarman gálwárá engrézi kant.
He speaks English with a German accent.,Á Jarman gálewárá Engrézi kant.
He was hit by a car and died instantly.,Á gádhiéá jat o hamá sahtá mort.
"He will go to Tokyo tomorrow, won't he?","Á bándá Thókyuá rawt, genday?"
How about playing football next Sunday?,Taw ché goshay démay Yakshambehá pothbáli kanén?
How about playing tennis next Saturday?,Démay Shambehá thénes kanagay bárawá taw ché goshay?
How about playing tennis next Saturday?,Taw ché goshay démay Shambehá thénes kanén?
How could I forget something like that?,Man choshén chizzá chón béhál kot kanán?
How could I forget something like that?,Man choshén chizzá chón béhál kot kanán.
"How do you say ""thank you"" in Japanese?","Jápániá ""mennatwár"" chetawr goshant?"
How many mosques are there in Istanbul?,Estanbólá chinchok masit hast?
How many rooms are there in your house?,Tai gesay kóthi chinchok ant?
"Hurry up, or you'll be late for school.","Goshád kan, agan natará eskólá dér bit."
"Hurry up, or you'll be late for school.","Goshád kan, agan na tará eskólá dér bit."
"I accept, but only under one condition.",Man kabul kanán bale bass yakk shartéá.
"I accept, but only under one condition.",Man mannán bale éoká yakk shartéá.
I can't forget about that stupid movie.,Man á bésarén támorá shamosht nakanán.
I can't forget about that stupid movie.,Man á bésarén támorá béhál nabán.
I can't remember the tune of that song.,Maná á sawtay tarzá yát kot nakanán.
I can't remember the tune of that song.,Maná á sawtay tarz yát naent.
I can't tolerate this noise any longer.,Man é shórá chedo géshter sagget nakanán.
I didn't think you'd forget to do that.,Man hayálá nayatán ke taw chó kanagá béhál bay.
I don't believe that Tom is the killer.,Maná báwar nakant ke Thám koshók ent.
I don't like watching subtitled movies.,Maná sabtháithalién támoráni chárag wassh nabit.
I don't really care one way or another.,Rásti man parwáh nadárán ke chón bit.
I don't really care one way or another.,Rásti man parwáh nadárán ke esh bit yá á.
I don't remember what happened anymore.,Maná ni yát nakant ke ché but.
I don't shampoo my hair in the morning.,Man sabáhá wati midán shampu najanán.
I don't think that I'd like doing that.,Mani hayálá maná chó kanag dóst nabit.
I don't think Tom knows how to do that.,Mani hayálá Thám nazánt ke é chetawr kanag bit.
I don't think Tom knows how to do that.,Mani hayálá Thám eshiay kanagá nazánt.
I don't want to tell them why I'm late.,Man nalóthán ke áyán begoshán gón ke maná parchá dér butag.
I felt my phone vibrating in my pocket.,Maná samá but ke kissagá mani pawn drahagá ent.
I felt my phone vibrating in my pocket.,Maná samá but ke kissagá mani pawn soragá ent.
I found the key that I was looking for.,Maná hamá kelit dast kapt ke man shóházi kanagá atán.
I found the key that I was looking for.,Maná hamá kelit dast kapt ke man shóházy kanagá atán.
I got scolded severely by that teacher.,Maná ostádá sakk hakkall o hókall kot.
I had no difficulty finding your house.,Maná tai gesay dar géjagá hecch janjáli nabut.
I have four times more CDs than you do.,Mani kerrá cha taigá chársari géshter sidhi hast.
I have no idea what I'm supposed to do.,Man hecch nazánán ke maná ché kanag lóthit.
I hope I don't have to use this pistol.,Omét ent ke maná é watás kár bandag nakapit.
I just wish I knew how to speak French.,Mani wáhag bass esh ent ke man Paránsiá gapp janag bezánán.
I just wish I knew how to speak French.,Mani wáhag bass esh ent ke man Paránsiá gapp janag bezántén.
I knew that something bad might happen.,Man zánt ke harábén chizzé bit kant.
I need more time to finish my homework.,Maná pa wati lókáray halás kanagá géshter wahd lóthit.
I need more time to finish my homework.,Man wati lókáray kotthénagá géshter wahd lóthán.
I remember seeing him somewhere before.,Maná yát ent ke á man pésará jágahé distag.
I stayed in Australia for three months.,Man Ástrayliáyá say máhá jalletán.
I still haven't learned to drive a car.,Man angat gádhiay táchag nasekketag.
I still haven't learned to drive a car.,Man angat gádhiay halláénag nasekketag.
I take my camera with me wherever I go.,Man harjágah rawán wati kémráyá barán gón.
I think I mistakenly deleted that file.,Mani hayálá man radokái á páel kór kot.
I thought we weren't going to go there.,Man gosht balkén má ódá rawagá naén.
I thought you didn't believe in ghosts.,Man gosht balkén taw jenn namannay.
I thought you didn't believe in ghosts.,Man gosht balkén tará jennay sará yakin nést.
I thought you might feel sorry for Tom.,Man gosht balkén tará Thámay sará bazzag kant.
I thought you might want to come along.,Man gosht balkén taw ká ay gón.
I thought you said you didn't like Tom.,Man gosht balkén taw gosht ke maná Thám dóst nabit.
I thought you said you didn't like Tom.,Mani hayálá taw gosht ke tará Thám dóst nabit.
I told you I don't know how to do that.,Man tará gosht ke man eshiay kanagá nazánán.
I told you this was going to be boring.,Man tará gosht ke é bór kant.
I want to know why I needed to do that.,Man zánag lóthán ke maná parchá chó kanagay hájat but.
I want to know why I needed to do that.,Man zánag lóthán ke maná parchá chó kanagay zalurat but.
I wanted to buy one of Tom's paintings.,Man lóthet ke cha Thámay paynthengán yakké begerán.
I was supposed to tell Tom where to go.,Maná Thám goshagiat ke kojá boraw.
I was supposed to tell Tom where to go.,Maná Thámárá begoshtén ke kojá boraw.
I wasn't aware that Tom should do that.,Man sahi nayatán ke Thámá chó kanag lóthit.
"I will ask him about it tomorrow, then.","Godhá, man bándá áiá é bárawá jost kanán."
I would like to get a camera like this.,Man eshiay wadhén kémráé zirag lóthán.
I'll try to shape my ideas into a book.,Man johd kanán ke wati hayálán ketábéay dróshom bedayán.
I'm afraid that I don't agree with you.,Bebaksh ke man gón taw tepák nakanán.
I'm afraid that I don't agree with you.,Bebaksh ke man tai gappá namannán.
I'm going to play chess with Tom today.,Marchi man gón Thámá shatranjay layb kanán.
I'm looking forward to summer vacation.,Man garmágay chotthiáni wadárá án.
I'm pretty sure that's how it happened.,Man jazmán ke é hamé paymá but.
I'm sorry I didn't reply to you sooner.,Bebaksh ke man tará zitter passaw nadát.
I'm sure I'll find a good gift for Tom.,Man jazmán ke maná pa Thámá sharrén sawgáté dast kapit.
I'm totally against capital punishment.,Man margay shezáay chath helápán.
I'm trying to find a way to make money.,Man johdá án ke zarray katthagay ráhé dar begéján.
"If you eat too much, you'll become fat.","Agan taw báz waray, zandh bay."
"Instead of going myself, I sent a gift.","Wat rawagay badalá, man sawgáté dém dát."
It is impossible to live without water.,Bé ápá zendag bayag nabit.
It's very important to get enough rest.,Maksadá dam kanag sakk arzesht dárit.
It's very important to get enough rest.,Maksadá árám kanag sakk arzeshdár ent.
January is the first month of the year.,Janwari sálay awali máh ent.
Japan relies on Arab countries for oil.,Jápán pa thélá arab molkáni wázmandag ent.
Lightning normally accompanies thunder.,Grók yappaymá granday hamráh ent.
Lightning normally accompanies thunder.,Gerók yappaymá granday hamráh ent.
Many students took part in the contest.,Bázén maktabiéá mokábelahá hahr zort.
Many students took part in the contest.,Bázén tálebéá mokábelahá hahr zort.
Mars resembles our planet in some ways.,Lahté chizzá bahrám may kókabay chahragá jant.
My daughter is getting married in June.,Juná mani jenekkay sir ent.
My mom doesn't speak English very well.,Mani mát engréziá sharriá gapp jat nakant.
Not many students attended the meeting.,Diwáná báz maktabi nayatk.
Not many students attended the meeting.,Diwáná báz táleb nayatk.
One man's meat is another man's poison.,Yakkéay shakkal domigay májinn ent.
"Seeing the policeman, the boy ran away.","Bachakká ke polisay sepáhig dist, tatk."
"Seeing the policeman, the boy ran away.","Bachakká ke polis dist, dar shot."
"Seeing the policeman, the man ran away.","Mardá ke polis dist, dar shot."
She advised him to go on a strict diet.,Áiá á sój dát ke trondén wardáirié bekan.
She always forgets my telephone number.,Á modám mani thélpun nambará shamoshit.
She always forgets my telephone number.,Á modám mani thélpun nambará béhál kant.
She has gone through many difficulties.,Á bázén sakkiéá gwastag.
She helped the old man cross the river.,Áiá pirmard kawray gwázénagá madat kot.
She made friends with Tom at the party.,Áiá marágahá Thám wati sangat kot.
She made friends with Tom at the party.,Á marágahá gón Thámá sangat but.
She should listen more to other people.,Áiá dege mardománi gapp géshter gósh dárag lóthit.
Thank you for inviting me to the party.,Mennatwár án ke taw maná marágahá lóth et.
That kind of person will fail for sure.,Choshén mardom allamá bésób bit.
That kind of person will fail for sure.,Choshén mardom pakkáyá bésób bit.
"The card you drew was a red, wasn't it?","Hamé sohrén kárdhé at ke taw kassh et, genday?"
"The card you drew was a red, wasn't it?","Hamé kárdh ke taw kasshet sohr at, genday?"
The crowd yelled when he scored a goal.,Wahdé áiá gólé dát mahluká kukkár kot.
The crowd yelled when he scored a goal.,Wahdé áiá gólé dát mocchiá kukkár kot.
The enemy kept up the attack all night.,Dozhmená dráhén shapá orosh barjáh dásht.
"The French flag is blue, white and red.","Paránsi jandhi sabz, espét o sohr ent."
The grand jury indicted Tom for murder.,Mazanén jergahá Thámay sará kóshay jorm laddh et.
The phone rang when I was having lunch.,Pawná hamá wahdá jat ke man sobáreg kanagá atán.
The phone rang when I was having lunch.,Pawná hamá wahdá tawár kot ke man sobáreg kanagá atán.
The police have Tom under surveillance.,Thám polisay zérnegáh ent.
The ship was at the mercy of the waves.,Mél chawláni mayár at.
The swans migrate from here to Florida.,Swán chedá laddhant o Plóredáyá rawant.
There are a few shops next to my house.,Mani gesay kerrá kammok dokkán hast.
There are a lot of students in the gym.,Wardeshgáhá gappadhé maktabi hast.
There are a lot of students in the gym.,Wardeshgáhá gappadhé táleb hast.
There were 150 passengers on the plane.,Báliá 150 pásinjar atant.
There were a lot of people in the room.,Kóthiá gappadhé mardom atant.
There's a body in the trunk of the car.,Gádhiay dhiggiá jóné mán.
There's something that I forgot to say.,Man yakk gappéay janagá béhál bitán.
This is the worst thing I've ever done.,Ganterén kár hamésh ent man daninga kotag.
This is the worst thing I've ever done.,Mani kotagén káráni tahá é ganterén ent.
Tom can't understand why Mary is angry.,Thám sarpad bit nakant ke Maryam parchá zahr ent.
Tom didn't want to look like a tourist.,Thámá nalóthet ke saylániéay wadhá dará bebayán.
Tom didn't want to look like a tourist.,Thámá nalóthet ke saylánié dará bebán.
Tom doesn't have either a cat or a dog.,Thámay kerrá pesshi yá kochekk nést.
Tom doesn't like talking about himself.,Thámá wati bárawá gapp janag wassh nabit.
Tom doesn't think that Mary is at home.,Thámay hayálá Maryam lógá naent.
Tom felt something crawling on his arm.,Thámá samá but goshay chizzé báská per rawagá ent.
Tom felt something crawling on his arm.,Thámá samá but ke chizzé báská per rawagá ent.
Tom got quite a few positive responses.,Thámá bázén rásdémén jawáb ras et.
Tom got quite a few positive responses.,Thámá bázén jwánén jawábé ras et.
Tom hung his new dartboard on the wall.,Thámá wati nókén dastiriay tahtag diwálá dratk.
Tom knows a lot about American history.,Thám Amrikahay daptaray bárawá báz zánt.
Tom tried his hardest to persuade Mary.,Thámá wati was kot ke Maryamá ráhá byárán.
Tom tried his hardest to persuade Mary.,Thámá wati was kot ke Maryamá ráhá byrán.
Tom wanted to know where Mary had been.,Thámá zánag lóthet ke Maryam kojá butag.
Tom was the last one to see Mary alive.,Thám goddhi mardomat ke Maryami zendagá dist.
Tom wouldn't have known the difference.,Thámá park nazántag at.
Toward evening the fire began to abate.,Bégáhá ás kamtarán bit.
Try it and tell me what it tastes like.,Eshiá bechár o maná begosh gón ke ché tám kant.
Try it and tell me what it tastes like.,Eshiá bechár o maná begosh gón ke che tám kant.
We need to communicate with each other.,Márá gón yakk o domigá hál o ehwál kanag lóthit.
What he said would happen has happened.,"Anchó ke áiá goshtagat ke bit, hamá paym butag."
What time did you go to bed last night?,Taw shapá ché wahdá wapsagá shotay?
What time did you go to bed last night?,Taw shapá che wahdá wapsagá shotay?
"When he heard the news, he turned pale.","Wahdé áiá hál eshkot, zard tarr et."
When was the last time you rode a bike?,Goddhi randá taw kadi saynkalá sawár bitay?
Where are the bills you want me to pay?,Hamá bell koj ant ke taw lóthay man áyáni zarrán bedayán?
Where are the bills you want me to pay?,Hamá bell koj ant ke taw lóthay man áyáni zarrán bedayán.
Where can I pick up my airplane ticket?,Man wati báli gorábay theketthá cha kojá bezirán?
"Which do you like better, meat or fish?","Tará kojám dóster bit, gósht yá máhig?"
"Which do you like better, meat or fish?","Tará kojám washter bit, gósht yá máhig?"
Why did you leave your job on the farm?,Taw wati molkay kár parchá yalah dát?
Why didn't you tell us you knew French?,Taw márá parchá nagosht gón ke taw Paránsi zánay?
Why doesn't he send me letters anymore?,Á ni parchá pa man kágad dém nadant?
Why he killed himself is not a mystery.,É chérén gappé naent ke áiá watá parchá kosht.
"Why is autumn called ""fall"" in America?","Amrikahá tákchandhá ""tákap"" parchá goshant?"
"Without your advice, I would've failed.","Bé tai sójá, man bésób butagatán."
Would you tell me what's going on here?,Taw maná goshay gón ke edá ché bayagá ent?
You have brought shame upon our family.,Taw may hándánay sar jahl kotag.
You have brought shame upon our family.,Taw may kahólay sar jahl kotag.
You have refused to return from Holand.,Taw cha Hálayndá wátarri áshá kotag.
You haven't invited us to your wedding.,Taw wati sirá márá dáwat nadátag.
You made the same mistake as last time.,Taw hamá radi kot ke pésari randá kotag at.
You must be the temporary we asked for.,Taw allamá hamá adárokiay ke má lóthetag.
You must realize that I can't help you.,Tará zánag lóthit ke man tará madat kot nakanán.
You'd better start as soon as possible.,Sharter hamésh ent ke haminchok zitter bit shoru bekan.
You'd better take an umbrella with you.,Sharter hamésh ent ke taw chatré bezir gón.
